player_name,player_age,player_nats,from_team,from_competition,to_team,to_competition,market_value,transfer_date,transfer_fee
Nicklas Strunck Jakobsen,20,Denmark,Nordsjaelland,Superligaen,FC Groningen,Eredivisie,€450k,"Aug 11, 2019",?
Axel Borgmann,25,Germany,VVV-Venlo,Eredivisie,Energie Cottbus,Regionalliga Nordost,€175k,"Aug 11, 2019",Free transfer
Gavin Vlijter,23,"Netherlands,Suriname",Fortuna Sittard,Eredivisie,MVV Maastricht,Keuken Kampioen Divisie,€100k,"Aug 9, 2019",Free transfer
Lasse Schöne,33,Denmark,Ajax,Eredivisie,Genoa,Serie A,€2.00m,"Aug 9, 2019",€1.50m
João Queirós,21,Portugal,1. FC Köln,Bundesliga,Willem II,Eredivisie,€450k,"Aug 8, 2019",Loan
Rick Karsdorp,25,Netherlands,AS Roma,Serie A,Feyenoord,Eredivisie,€3.20m,"Aug 7, 2019",Loan
Jeremiah St. Juste,23,"Netherlands,St. Kitts & Nevis",Feyenoord,Eredivisie,1.FSV Mainz 05,Bundesliga,€7.00m,"Aug 7, 2019",€9.00m
George Johnston,21,"Scotland,England",Liverpool U23,Premier League 2,Feyenoord,Eredivisie,€250k,"Aug 7, 2019",€300k
Ben Rienstra,29,Netherlands,Heerenveen,Eredivisie,Kayserispor,Süper Lig,€550k,"Aug 7, 2019",€500k
Jeremy Helmer,22,Netherlands,AZ Alkmaar,Eredivisie,De Graafschap,Keuken Kampioen Divisie,€475k,"Aug 7, 2019",Loan
Paul Gladon,28,Netherlands,FC Groningen,Eredivisie,Willem II,Eredivisie,€475k,"Aug 7, 2019",Free transfer
Bilal Ould-Chikh,22,"Netherlands,Morocco",Denizlispor,Süper Lig,ADO Den Haag,Eredivisie,€300k,"Aug 7, 2019",Free transfer
Hennos Asmelash,20,"Netherlands,Eritrea",ADO Den Haag,Eredivisie,TOP Oss,Keuken Kampioen Divisie,€250k,"Aug 5, 2019",Loan
Guus Til,22,Netherlands,AZ Alkmaar,Eredivisie,Spartak Moscow,Premier Liga,€9.50m,"Aug 5, 2019",€18.00m
Delano Ladan,20,Netherlands,ADO Den Haag,Eredivisie,SC Cambuur,Keuken Kampioen Divisie,€175k,"Aug 5, 2019",Free transfer
Mike Grim,23,Netherlands,IJsselm.vogels,Tweede Divisie,RKC Waalwijk,Eredivisie,€25k,"Aug 5, 2019",Free transfer
Janne Saksela,27,Finland,Sparta R.,Eredivisie,Ilves,Veikkausliiga,€200k,"Aug 3, 2019",Free transfer
Kristoffer Peterson,25,Sweden,Heracles Almelo,Eredivisie,Swansea,Championship,€1.60m,"Aug 2, 2019",€550k
Nick Hengelman,30,Netherlands,FC Twente,Eredivisie,Ajax Cape Town,"
 South Africa		",€75k,"Aug 2, 2019",Free transfer
Ricardo van Rhijn,28,"Netherlands,Curacao",AZ Alkmaar,Eredivisie,Heerenveen,Eredivisie,€650k,"Aug 1, 2019",Free transfer
Indy Groothuizen,23,Netherlands,ADO Den Haag,Eredivisie,Vejle BK,NordicBet LIGA,€325k,"Jul 31, 2019",?
Michiel Kramer,31,Netherlands,FC Utrecht,Eredivisie,ADO Den Haag,Eredivisie,€525k,"Jul 31, 2019",Free transfer
Thomas Meißner,29,Germany,Willem II,Eredivisie,Puskás AFC,NB I.,€525k,"Jul 31, 2019",?
Justin Hoogma,21,Netherlands,TSG Hoffenheim,Bundesliga,FC Utrecht,Eredivisie,€2.30m,"Jul 30, 2019",Loan
Sven Botman,20,Netherlands,Ajax U21,Keuken Kampioen Divisie,Heerenveen,Eredivisie,€1.30m,"Jul 27, 2019",Loan
Timo Baumgartl,24,Germany,VfB Stuttgart,2. Bundesliga,PSV Eindhoven,Eredivisie,€5.50m,"Jul 26, 2019",€10.00m
Yoëll van Nieff,26,Netherlands,Heracles Almelo,Eredivisie,Puskás AFC,NB I.,€475k,"Jul 25, 2019",?
Leroy Fer,30,"Netherlands,Curacao",Swansea,Championship,Feyenoord,Eredivisie,€3.50m,"Jul 25, 2019",Free transfer
Sebastian Holmén,27,Sweden,Dinamo Moscow,Premier Liga,Willem II,Eredivisie,€1.70m,"Jul 24, 2019",Free transfer
Bassala Sambou,22,"Germany,England",Everton U23,Premier League 2,Fortuna Sittard,Eredivisie,€150k,"Jul 23, 2019",Free transfer
Doke Schmidt,28,Netherlands,Heerenveen,Eredivisie,SC Cambuur,Keuken Kampioen Divisie,€325k,"Jul 23, 2019",Free transfer
Jizz Hornkamp,22,Netherlands,Heerenveen,Eredivisie,FC Den Bosch,Keuken Kampioen Divisie,€350k,"Jul 22, 2019",?
Jordy Clasie,28,Netherlands,Southampton,Premier League,AZ Alkmaar,Eredivisie,€2.40m,"Jul 22, 2019",Free transfer
Edson Álvarez,22,Mexico,América,Liga MX Clausura,Ajax,Eredivisie,€8.00m,"Jul 22, 2019",€15.00m
Keito Nakamura,19,Japan,Gamba Osaka,J1 League,FC Twente,Eredivisie,€800k,"Jul 22, 2019",Loan
Lars Nieuwpoort,25,Netherlands,De Graafschap,Keuken Kampioen Divisie,RKC Waalwijk,Eredivisie,€250k,"Jul 22, 2019",Free transfer
Édouard Duplan,36,France,Sparta R.,Eredivisie,Westlandia,Derde Divisie Sunday,€100k,"Jul 22, 2019",Free transfer
Jordy Croux,26,Belgium,Willem II,Eredivisie,Roda JC,Keuken Kampioen Divisie,€350k,"Jul 22, 2019",Free transfer
Rasmus Kristensen,22,Denmark,Ajax,Eredivisie,RB Salzburg,Bundesliga,€3.20m,"Jul 19, 2019",€5.00m
Jacky Donkor,21,"Belgium,Ghana",KSC Lokeren II,"
 Belgium		",Fortuna Sittard,Eredivisie,€75k,"Jul 18, 2019",Free transfer
